Year,Description,Employees (units of 500 jobs),Actual Employees (Number of Jobs),Compensation (units of $20M),Actual Compensation (Thousands of Dollars)
2016,Motion pictures,3,1711.0,2,34074.0
2016,Museums,2,978.0,2,30262.0
2016,Musical instruments manufacturing,0,25.0,0,1943.0
2016,Other goods manufacturing,1,255.0,1,17947.0
2016,Other information services,1,620.0,3,58257.0
2016,Other support services,0,5.0,0,211.0
2016,Performing arts companies,1,356.0,1,20280.0
2016,Photography and photofinishing services,1,484.0,1,26548.0
2016,Printed goods manufacturing,2,1089.0,3,56595.0
2016,Promoters of performing arts and similar events,1,530.0,1,27290.0
2016,Publishing,5,2700.0,9,185098.0
2016,Rental and leasing,1,299.0,1,11432.0
2016,Retail industries,10,4904.0,6,124291.0
2016,Sound recording,0,,0,
2016,Unions,0,221.0,0,5489.0
2016,Wholesale and transportation industries,0,,0,
2017,Advertising,3,1543.0,5,92113.0
2017,Agents/managers for artists,0,5.0,0,274.0
2017,All other design services,0,15.0,0,539.0
2017,All other industries 2/,3,1586.0,5,100093.0
2017,Architectural services,1,713.0,3,66408.0
2017,Broadcasting,7,3397.0,12,232272.0
2017,Computer systems design,0,132.0,1,11274.0
2017,Construction,1,733.0,3,54305.0
2017,Custom architectural woodwork and metalwork manufacturing,0,,0,
2017,Education services,2,871.0,1,29575.0
2017,Fine arts education,1,484.0,1,15082.0
2017,Government,42,21131.0,46,920133.0
2017,Grantmaking and giving services,0,184.0,0,4207.0
2017,Graphic design services,1,361.0,1,18898.0
2017,"Independent artists, writers, and performers",1,398.0,0,6885.0
2017,Industrial design services,0,186.0,1,11725.0
2017,Interior design services,0,132.0,0,5359.0
2017,Jewelry and silverware manufacturing,0,6.0,0,121.0
2017,Landscape architectural services,0,60.0,0,6234.0
2017,Motion pictures,4,1782.0,2,35930.0
2017,Museums,2,1009.0,2,31974.0
